dataset	dataset_label	method	method_label	seed	run_name	params_total	params_trainable	method_params	param_kind	artifact_variant	artifact_dataset	artifact_seed	map_macro	map_L1	map_L2	map_L3	map_weighted	f1	macro_f1	acc	auc	macro_auc	loss	nll	ece	calibration_mode	precision	recall	kappa_quad	kappa_lin	balanced_acc	binary_f1	binary_auc
cam17	CAMELYON17	xsa_all_ref	XSA	44	classification_cam17_xsa_all_ref_s44	7723780	7723780	0	ab_params									0.6759027158706762		0.9090909090909091	0.967312217250671		0.2554832102608575	0.2554832074828964	0.07278458987161424	multiclass	0.6652033730158731	0.6920168067226891	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	xsa_all_ref	XSA	45	classification_cam17_xsa_all_ref_s45	7723780	7723780	0	ab_params									0.8234499080937564		0.92	0.9637848492652776		0.3881362538551912	0.38813624945044334	0.12019210563462371	multiclass	0.8257554945054946	0.8493680028891297	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	xsa_all_ref	XSA	46	classification_cam17_xsa_all_ref_s46	7723780	7723780	0	ab_params									0.7427616501145913		0.86	0.9649151976658101		0.5786301642551552	0.5786301682175305	0.12027346954047344	multiclass	0.7995726495726495	0.7672904896421846	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	diff_transformer	Diff	42	classification_cam17_diff_transformer_s42	7719172	7719172	0	diff_params									0.7019708904664657		0.8686868686868687	0.9168966915048775		0.3973563915269092	0.39735639514383136	0.06679168818483636	multiclass	0.7312608847091606	0.7032608695652174	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	diff_transformer	Diff	43	classification_cam17_diff_transformer_s43	7719172	7719172	0	diff_params									0.7049683328841544		0.88	0.9202726642391406		0.5260905410104897	0.5260905497588021	0.10003051189895848	multiclass	0.704359243697479	0.7213235294117648	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	diff_transformer	Diff	44	classification_cam17_diff_transformer_s44	7719172	7719172	0	diff_params									0.7887876498914173		0.9292929292929293	0.9370707089233933		0.37589416488143146	0.37589417415546084	0.06669591089264375	multiclass	0.8110410830999066	0.7749299719887954	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	diff_transformer	Diff	45	classification_cam17_diff_transformer_s45	7719172	7719172	0	diff_params									0.8162569212783541		0.92	0.9541056935072569		0.30404838084010405	0.3040483798845488	0.05194156468826898	multiclass	0.8167169684775318	0.8278891296496931	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	diff_transformer	Diff	46	classification_cam17_diff_transformer_s46	7719172	7719172	0	diff_params									0.776768772024939		0.89	0.9232402669744977		0.3698859004676342	0.3698859049029521	0.07269533748493949	multiclass	0.8134615384615385	0.7493055555555556	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	gated_post_attention	Gated SRP	42	classification_cam17_gated_post_attention_s42	7724833	7724833	1053	gate_params									0.7383928571428572		0.8787878787878788	0.9175380077107651		0.5050424003192797	0.5050423957659688	0.09250465074748493	multiclass	0.7551754385964912	0.7299654150197629	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	gated_post_attention	Gated SRP	43	classification_cam17_gated_post_attention_s43	7724833	7724833	1053	gate_params									0.7810823754789272		0.91	0.9193980585655316		0.4952938599174377	0.49529384583258773	0.07937021279723475	multiclass	0.7730543710021323	0.796813725490196	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
