experiment	cohort	endpoint	method	arm	seed	split_mode	global_seed	beta	gate_hidden_dim	selection_status	best_epoch	val_case_c_index	val_slide_c_index	val_loss	test_case_c_index	test_slide_c_index	test_loss	test_n_cases	test_n_events	train_cases	val_cases	test_cases	run_name
survival_tasks	LUAD	OS	NA	baseline	42	global_seed_holdout	42	0	0	not_applicable	1	0.5558086560364465	0.5558086560364465	1.5506608373252675	0.5017261219792866	0.4855864811133201	1.5001006579105653	96	34	321	48	96	survival_luad_baseline_s42
survival_tasks	LUAD	OS	XSA	xsa_all_ref	42	global_seed_holdout	42			not_applicable	1	0.5876993166287016	0.5876993166287016	1.5465290059558658	0.4574223245109321	0.44433399602385687	1.4903612102267667	96	34	321	48	96	survival_luad_xsa_all_ref_s42
survival_tasks	LUAD	OS	Diff	diff_transformer	42	global_seed_holdout	42			not_applicable	7	0.6104783599088838	0.6104783599088838	2.1953050980640305	0.5716340621403913	0.5559145129224652	2.6081765156633545	96	34	321	48	96	survival_luad_diff_transformer_s42
survival_tasks	LUAD	OS	NA	baseline	43	global_seed_holdout	43	0	0	not_applicable	8	0.6444954128440367	0.6125827814569537	2.217335640718894	0.5885328836424958	0.5966981132075472	2.2772709692438857	96	34	321	48	96	survival_luad_baseline_s43
survival_tasks	LUAD	OS	XSA	xsa_all_ref	43	global_seed_holdout	43			not_applicable	12	0.6880733944954128	0.6501103752759382	2.6687430312145834	0.6082068577852726	0.622248427672956	2.6030730217885365	96	34	321	48	96	survival_luad_xsa_all_ref_s43
survival_tasks	LUAD	OS	Diff	diff_transformer	43	global_seed_holdout	43			not_applicable	6	0.7087155963302753	0.6710816777041942	2.346835047408517	0.5598650927487352	0.6029874213836478	2.0417737939240514	96	34	321	48	96	survival_luad_diff_transformer_s43
survival_tasks	LUAD	OS	NA	baseline	44	global_seed_holdout	44	0	0	not_applicable	4	0.6724537037037037	0.6727467811158798	1.7329344514012337	0.5887050770108385	0.5492771084337349	2.1862621288953554	96	34	321	48	96	survival_luad_baseline_s44
survival_tasks	LUAD	OS	XSA	xsa_all_ref	44	global_seed_holdout	44			not_applicable	7	0.6643518518518519	0.6652360515021459	2.0284655224648303	0.5613234455219623	0.48457831325301204	2.8383737497428365	96	34	321	48	96	survival_luad_xsa_all_ref_s44
survival_tasks	LUAD	OS	Diff	diff_transformer	44	global_seed_holdout	44			not_applicable	1	0.6805555555555556	0.6630901287553648	1.6200605770945549	0.4883057615516258	0.4014457831325301	2.1653438968963368	96	34	321	48	96	survival_luad_diff_transformer_s44
survival_tasks	LUAD	OS	NA	baseline	45	global_seed_holdout	45	0	0	not_applicable	8	0.6515837104072398	0.6239316239316239	2.0348350853740196	0.5671641791044776	0.5706006322444679	1.7818168901157159	96	34	321	48	96	survival_luad_baseline_s45
survival_tasks	LUAD	OS	XSA	xsa_all_ref	45	global_seed_holdout	45			not_applicable	1	0.6742081447963801	0.6419753086419753	1.7678666870663131	0.5722388059701492	0.565595363540569	1.635724809186736	96	34	321	48	96	survival_luad_xsa_all_ref_s45
survival_tasks	LUAD	OS	Diff	diff_transformer	45	global_seed_holdout	45			not_applicable	8	0.7149321266968326	0.7397910731244065	1.7829305687683055	0.6197014925373134	0.6159114857744995	2.027425112791756	96	34	321	48	96	survival_luad_diff_transformer_s45
survival_tasks	LUAD	OS	NA	baseline	46	global_seed_holdout	46	0	0	not_applicable	5	0.59375	0.5334158415841584	2.4189028043352487	0.5102272727272728	0.5475552578700603	2.1660911357155004	96	34	321	48	96	survival_luad_baseline_s46
